date,vekt
2020-08-17,7.8
2020-08-22,8.1
2020-08-26,8.7
2020-08-30,9.4
2020-09-07,10.6
2020-09-18,11.6
2020-09-23,13.2
2020-10-05,14.1
2020-10-12,15.5
2020-10-17,16.3
2020-10-18,17
2020-10-21,16.5
2020-10-25,16.2
2020-10-28,16.7
2020-11-04,17.1
2020-11-06,17.5
2020-11-08,17.3
2020-11-17,18.2
2020-11-30,19.4
